Chronological Order,King,Ahom Name,Title / Epithet,Dynasty House,Historical Era,Reign Start Year,Reign End Year,Reign Period,Event,Event Year,Event Numeric Year,Event Category,Capital,Image File Name,Image Version,Image Link,Detailed Event Description,Key Historical Figures
11,Chaolung Sukaphaa,Siu-Ka-Pha,Founder of Ahom Kingdom,Early Dynasty,Foundational Era (1228–1497),1228,1268,1228–1268,Sukaphaa Enters the Assam Valley,1228,1228,Dynastic Foundation,Tipam,05_Sukaphaa_Enters_Assam.png,v01,file:///home/angsuman/extra_spac/AHOM/images/05_Sukaphaa_Enters_Assam.png,"Formal arrival of Sukaphaa's royal entourage in the plains of Upper Assam along the Dihing river basin in 1228 CE, officially inaugurating the 600-year Ahom Dynasty.","Chaolung Sukaphaa, Tai noble families"
12,Chaolung Sukaphaa,Siu-Ka-Pha,Founder of Ahom Kingdom,Early Dynasty,Foundational Era (1228–1497),1228,1268,1228–1268,Establishment of the First Tai Settlements,1228–1235,1228,Colonization / Agriculture,Tipam / Habung,06_First_Tai_Settlement_in_Assam.png,v01,file:///home/angsuman/extra_spac/AHOM/images/06_First_Tai_Settlement_in_Assam.png,"Initial settlements established at Tipam, Habung, and Shimolguri; stilt houses (Rwan-hon) constructed and virgin floodplains cleared for agriculture.","Chaolung Sukaphaa, Tai settlers"
13,Chaolung Sukaphaa,Siu-Ka-Pha,Founder of Ahom Kingdom,Early Dynasty,Foundational Era (1228–1497),1228,1268,1228–1268,The Sacred Promontory of Charaideo,c. 1260s,1228,Heritage / Royal Sanctuary,Charaideo,13_Charaideo_at_Sunset.png,v01,file:///home/angsuman/extra_spac/AHOM/images/13_Charaideo_at_Sunset.png,"The sacred royal compound and ancestral temples at Charaideo, the spiritual center and eternal resting place of Ahom royalty.","Chaolung Sukaphaa, Ahom royalty"
14,Chaolung Sukaphaa,Siu-Ka-Pha,Founder of Ahom Kingdom,Early Dynasty,Foundational Era (1228–1497),1228,1268,1228–1268,Institution of the Supreme Offices of Burhagohain and Borgohain,c. 1230–1253,1230,Constitutional Reform,Charaideo,11_Creation_of_Burhagohain_and_Borgohain.png,v01,file:///home/angsuman/extra_spac/AHOM/images/11_Creation_of_Burhagohain_and_Borgohain.png,"Sukaphaa institutes the Great Council of Nobles: Thaomung Klinglunmang (Burhagohain) and Thaomung Kangngan (Borgohain), forming a hereditary prime-ministerial council.","Chaolung Sukaphaa, First Burhagohain, First Borgohain"
15,Chaolung Sukaphaa,Siu-Ka-Pha,Founder of Ahom Kingdom,Early Dynasty,Foundational Era (1228–1497),1228,1268,1228–1268,Matrimonial Alliances with Borahi and Moran Rulers,1235–1240,1235,Diplomacy / Social Assimilation,Tipam / Charaideo,07_Tai_and_Local_Nobility_Marriage_Alliance.png,v01,file:///home/angsuman/extra_spac/AHOM/images/07_Tai_and_Local_Nobility_Marriage_Alliance.png,"Sukaphaa adopts an assimilative policy by establishing matrimonial bonds with the indigenous Moran chief Bodousa and the Borahi king Thakumtha, marrying local princesses and integrating them into court governance.","Chaolung Sukaphaa, Moran Chief Bodousa, Borahi King Thakumtha"
16,Chaolung Sukaphaa,Siu-Ka-Pha,Founder of Ahom Kingdom,Early Dynasty,Foundational Era (1228–1497),1228,1268,1228–1268,Introduction of Advanced Wet-Rice Cultivation (Sali Kheti),c. 1240–1250,1240,Agrarian Development / Economy,Upper Assam Valley,08_Wet_Rice_Cultivation.png,v01,file:///home/angsuman/extra_spac/AHOM/images/08_Wet_Rice_Cultivation.png,"Introduction of advanced Tai hydraulic techniques, dyke bunding, canal irrigation, and deep-water transplanted Sali rice, producing an agricultural surplus.","Chaolung Sukaphaa, Tai farmers and paiks"
17,Chaolung Sukaphaa,Siu-Ka-Pha,Founder of Ahom Kingdom,Early Dynasty,Foundational Era (1228–1497),1228,1268,1228–1268,Founding and Construction of the Sacred Capital at Charaideo,1253,1253,Capital Foundation / Architecture,Charaideo,09_Building_Charaideo.png,v01,file:///home/angsuman/extra_spac/AHOM/images/09_Building_Charaideo.png,"In 1253 CE, Sukaphaa establishes the permanent royal capital at Charaideo (Che-Rai-Doi), consecrated with sacred Tai Phuralong rituals and ancestral invocations.","Chaolung Sukaphaa, Deodhai and Bailung high priests"
18,Chaolung Sukaphaa,Siu-Ka-Pha,Founder of Ahom Kingdom,Early Dynasty,Foundational Era (1228–1497),1228,1268,1228–1268,Writing of the First Ahom Buranji (Royal Chronicles),c. 1253–1268,1253,Culture / Historiography,Charaideo,12_Writing_the_First_Buranji_v01.png,v01,file:///home/angsuman/extra_spac/AHOM/images/12_Writing_the_First_Buranji_v01.png,"Sukaphaa decrees that royal scribes and priests record every event, battle, decree, and genealogy on Sanchi bark (agarwood paper), establishing Assam's Buranji tradition.","Chaolung Sukaphaa, Royal Tai scribes (Likhakar Barua), Deodhais"
19,Chaolung Sukaphaa,Siu-Ka-Pha,Founder of Ahom Kingdom,Early Dynasty,Foundational Era (1228–1497),1228,1268,1228–1268,Writing of the First Ahom Buranji (Royal Chronicles),c. 1253–1268,1253,Culture / Historiography,Charaideo,12_Writing_the_First_Buranji_v02.png,v02,file:///home/angsuman/extra_spac/AHOM/images/12_Writing_the_First_Buranji_v02.png,"Sukaphaa decrees that royal scribes and priests record every event, battle, decree, and genealogy on Sanchi bark (agarwood paper), establishing Assam's Buranji tradition.","Chaolung Sukaphaa, Royal Tai scribes (Likhakar Barua), Deodhais"
20,Chaolung Sukaphaa,Siu-Ka-Pha,Founder of Ahom Kingdom,Early Dynasty,Foundational Era (1228–1497),1228,1268,1228–1268,The Royal Court of Sukaphaa,c. 1255,1255,Governance / Statecraft,Charaideo,10_Sukaphaa_Royal_Court_v01.png,v01,file:///home/angsuman/extra_spac/AHOM/images/10_Sukaphaa_Royal_Court_v01.png,"Convening of the sovereign assembly at Charaideo; state administration organized with local leaders integrated, establishing a harmonious multi-ethnic polity.","Chaolung Sukaphaa, Burhagohain, Borgohain, tribal ministers"
21,Chaolung Sukaphaa,Siu-Ka-Pha,Founder of Ahom Kingdom,Early Dynasty,Foundational Era (1228–1497),1228,1268,1228–1268,The Royal Court of Sukaphaa,c. 1255,1255,Governance / Statecraft,Charaideo,10_Sukaphaa_Royal_Court_v02.png,v02,file:///home/angsuman/extra_spac/AHOM/images/10_Sukaphaa_Royal_Court_v02.png,"Convening of the sovereign assembly at Charaideo; state administration organized with local leaders integrated, establishing a harmonious multi-ethnic polity.","Chaolung Sukaphaa, Burhagohain, Borgohain, tribal ministers"
22,Chaolung Sukaphaa,Siu-Ka-Pha,Founder of Ahom Kingdom,Early Dynasty,Foundational Era (1228–1497),1228,1268,1228–1268,Institution of Royal Moidams (Pyramidal Earth Tumuli),1268 onwards,1268,UNESCO World Heritage / Mortuary Rites,Charaideo,14_Royal_Moidams_of_Charaideo.png,v01,file:///home/angsuman/extra_spac/AHOM/images/14_Royal_Moidams_of_Charaideo.png,"Upon Sukaphaa's demise in 1268 CE, the tradition of building subterranean vaulted brick/stone chambers covered by hemispherical earthen mounds (Moidams) begins at Charaideo.","Chaolung Sukaphaa, Royal embalmers, High priests"
23,Suteuphaa,Siu-Teu-Pha,2nd Ahom King,Early Dynasty,Foundational Era (1228–1497),1268,1281,1268–1281,Accession and Court Assembly of Suteuphaa,1268,1268,Accession / Governance,Charaideo,01_Suteuphaa_Royal_Court_v01.png,v01,file:///home/angsuman/extra_spac/AHOM/images/01_Suteuphaa_Royal_Court_v01.png,Sukaphaa's eldest son assumes the golden throne and addresses the council of ministers to set aggressive policies for western border expansion.,"King Suteuphaa, Burhagohain, Borgohain"
24,Suteuphaa,Siu-Teu-Pha,2nd Ahom King,Early Dynasty,Foundational Era (1228–1497),1268,1281,1268–1281,Accession and Court Assembly of Suteuphaa,1268,1268,Accession / Governance,Charaideo,01_Suteuphaa_Royal_Court_v02.png,v02,file:///home/angsuman/extra_spac/AHOM/images/01_Suteuphaa_Royal_Court_v02.png,Sukaphaa's eldest son assumes the golden throne and addresses the council of ministers to set aggressive policies for western border expansion.,"King Suteuphaa, Burhagohain, Borgohain"
25,Suteuphaa,Siu-Teu-Pha,2nd Ahom King,Early Dynasty,Foundational Era (1228–1497),1268,1281,1268–1281,Frontier Standoff on the Dikhou River,c. 1270,1270,Border Dispute,Dikhou River,02_Dikhou_Frontier_between_Ahoms_and_Kacharis_v01.png,v01,file:///home/angsuman/extra_spac/AHOM/images/02_Dikhou_Frontier_between_Ahoms_and_Kacharis_v01.png,Ahom expanding settlements encounter the Kachari Kingdom's eastern outpost along the Dikhou River.,"King Suteuphaa, Kachari frontier commanders"
26,Suteuphaa,Siu-Teu-Pha,2nd Ahom King,Early Dynasty,Foundational Era (1228–1497),1268,1281,1268–1281,Frontier Standoff on the Dikhou River,c. 1270,1270,Border Dispute,Dikhou River,02_Dikhou_Frontier_between_Ahoms_and_Kacharis_v02.png,v02,file:///home/angsuman/extra_spac/AHOM/images/02_Dikhou_Frontier_between_Ahoms_and_Kacharis_v02.png,Ahom expanding settlements encounter the Kachari Kingdom's eastern outpost along the Dikhou River.,"King Suteuphaa, Kachari frontier commanders"
27,Suteuphaa,Siu-Teu-Pha,2nd Ahom King,Early Dynasty,Foundational Era (1228–1497),1268,1281,1268–1281,Frontier Standoff on the Dikhou River,c. 1270,1270,Border Dispute,Dikhou River,02_Dikhou_Frontier_between_Ahoms_and_Kacharis_v03.png,v03,file:///home/angsuman/extra_spac/AHOM/images/02_Dikhou_Frontier_between_Ahoms_and_Kacharis_v03.png,Ahom expanding settlements encounter the Kachari Kingdom's eastern outpost along the Dikhou River.,"King Suteuphaa, Kachari frontier commanders"
28,Suteuphaa,Siu-Teu-Pha,2nd Ahom King,Early Dynasty,Foundational Era (1228–1497),1268,1281,1268–1281,Skirmishes on the Ahom-Kachari Frontier,c. 1272,1272,Warfare,Dikhou River,03_Ahom_Kachari_Border_Confrontation_v01.png,v01,file:///home/angsuman/extra_spac/AHOM/images/03_Ahom_Kachari_Border_Confrontation_v01.png,Military clashes between Ahom warriors and Kachari troops over control of fertile grazing and cultivation tracts along the Dikhou.,"Ahom soldiers, Kachari garrison"
29,Suteuphaa,Siu-Teu-Pha,2nd Ahom King,Early Dynasty,Foundational Era (1228–1497),1268,1281,1268–1281,Skirmishes on the Ahom-Kachari Frontier,c. 1272,1272,Warfare,Dikhou River,03_Ahom_Kachari_Border_Confrontation_v02.png,v02,file:///home/angsuman/extra_spac/AHOM/images/03_Ahom_Kachari_Border_Confrontation_v02.png,Military clashes between Ahom warriors and Kachari troops over control of fertile grazing and cultivation tracts along the Dikhou.,"Ahom soldiers, Kachari garrison"
30,Suteuphaa,Siu-Teu-Pha,2nd Ahom King,Early Dynasty,Foundational Era (1228–1497),1268,1281,1268–1281,Diplomatic Negotiations with the Kachari King,c. 1275,1275,Diplomacy,Dikhou Frontier,04_Ahom_Kachari_Peace_Negotiations.png,v01,file:///home/angsuman/extra_spac/AHOM/images/04_Ahom_Kachari_Peace_Negotiations.png,"Suteuphaa sends envoys to avoid destructive protracted war, initiating bilateral talks with the Kachari monarch.","King Suteuphaa, Kachari King, Diplomatic envoys"
31,Suteuphaa,Siu-Teu-Pha,2nd Ahom King,Early Dynasty,Foundational Era (1228–1497),1268,1281,1268–1281,Demarcation of the Dikhou River Boundary,c. 1275,1275,Treaty / Territorial Settlement,Dikhou River,05_Dikhou_River_Boundary_Agreement.png,v01,file:///home/angsuman/extra_spac/AHOM/images/05_Dikhou_River_Boundary_Agreement.png,Formal treaty demarcating the Dikhou River as the permanent mutual frontier between the Ahoms and Kacharis.,"King Suteuphaa, Kachari King"
32,Suteuphaa,Siu-Teu-Pha,2nd Ahom King,Early Dynasty,Foundational Era (1228–1497),1268,1281,1268–1281,Conspiracy of the Eastern Naga Clans,c. 1277,1277,Rebellion,Naga Hills,06_Naga_Chiefs_Prepare_to_Revolt.png,v01,file:///home/angsuman/extra_spac/AHOM/images/06_Naga_Chiefs_Prepare_to_Revolt.png,Highland Naga chieftains withhold promised tributes and plot coordinated raids on Ahom valley villages.,Naga tribal chieftains
33,Suteuphaa,Siu-Teu-Pha,2nd Ahom King,Early Dynasty,Foundational Era (1228–1497),1268,1281,1268–1281,Suteuphaa Marshals the Royal Army,c. 1278,1278,Military Campaign,Naga Foothills,07_Suteuphaa_Military_Expedition.png,v01,file:///home/angsuman/extra_spac/AHOM/images/07_Suteuphaa_Military_Expedition.png,"King Suteuphaa mobilizes an expeditionary army equipped with iron-tipped arrows, daos, and war shields into the foothills.","King Suteuphaa, Ahom commanders"
34,Suteuphaa,Siu-Teu-Pha,2nd Ahom King,Early Dynasty,Foundational Era (1228–1497),1268,1281,1268–1281,The Fierce Battle of the Naga Hills,c. 1278,1278,Warfare,Naga Hills,08_Ahom_Naga_Hill_Battle_v01.png,v01,file:///home/angsuman/extra_spac/AHOM/images/08_Ahom_Naga_Hill_Battle_v01.png,"Ahom forces fight intense uphill engagements against fortified Naga hill positions, defeating hostile warriors in dense jungle terrain.","King Suteuphaa, Naga warriors"
35,Suteuphaa,Siu-Teu-Pha,2nd Ahom King,Early Dynasty,Foundational Era (1228–1497),1268,1281,1268–1281,The Fierce Battle of the Naga Hills,c. 1278,1278,Warfare,Naga Hills,08_Ahom_Naga_Hill_Battle_v02.png,v02,file:///home/angsuman/extra_spac/AHOM/images/08_Ahom_Naga_Hill_Battle_v02.png,"Ahom forces fight intense uphill engagements against fortified Naga hill positions, defeating hostile warriors in dense jungle terrain.","King Suteuphaa, Naga warriors"
36,Suteuphaa,Siu-Teu-Pha,2nd Ahom King,Early Dynasty,Foundational Era (1228–1497),1268,1281,1268–1281,Naga Submission and Tribute Offering,c. 1279,1279,Diplomacy / Fealty,Charaideo,09_Naga_Chieftains_Submit_to_Suteuphaa.png,v01,file:///home/angsuman/extra_spac/AHOM/images/09_Naga_Chieftains_Submit_to_Suteuphaa.png,"Defeated Naga chiefs travel to the royal court at Charaideo to kneel, submit oaths of loyalty, and pay tribute in salt, iron, and cloths.","King Suteuphaa, Subdued Naga chieftains"
37,Suteuphaa,Siu-Teu-Pha,2nd Ahom King,Early Dynasty,Foundational Era (1228–1497),1268,1281,1268–1281,Consolidation of the Dikhou Frontier,c. 1280,1280,Consolidation,Dikhou Valley,10_Peace_Restored_on_the_Dikhou_Frontier.png,v01,file:///home/angsuman/extra_spac/AHOM/images/10_Peace_Restored_on_the_Dikhou_Frontier.png,"Peaceful agrarian settlements flourish across the pacified Dikhou frontier, securing Upper Assam's borders.","King Suteuphaa, Frontier settlers"
38,Subinphaa,Siu-Bin-Pha,3rd Ahom King,Early Dynasty,Foundational Era (1228–1497),1281,1293,1281–1293,Administrative Division of the Realm,c. 1282,1282,Administrative Reform,Charaideo,11_Subinphaa_Divides_the_Administration.png,v01,file:///home/angsuman/extra_spac/AHOM/images/11_Subinphaa_Divides_the_Administration.png,Subinphaa formally partitions administrative jurisdiction and subjects into two equal domains under the Burhagohain and Borgohain.,"King Subinphaa, Burhagohain, Borgohain"
39,Subinphaa,Siu-Bin-Pha,3rd Ahom King,Early Dynasty,Foundational Era (1228–1497),1281,1293,1281–1293,Dual Provincial Governance by Gohains,c. 1283,1283,Governance,Upper Assam,12_Burhagohain_and_Borgohain_Govern_Two_Districts.png,v01,file:///home/angsuman/extra_spac/AHOM/images/12_Burhagohain_and_Borgohain_Govern_Two_Districts.png,Burhagohain administers the northern/eastern territory while Borgohain administers the southern/western territory with autonomous judicial authority.,"Burhagohain, Borgohain"
40,Subinphaa,Siu-Bin-Pha,3rd Ahom King,Early Dynasty,Foundational Era (1228–1497),1281,1293,1281–1293,Large-scale Swamp Reclamation and Bunding,c. 1285,1285,Agrarian Development,Upper Assam Plain,13_Subinphaa_Reclaims_the_Swamps.png,v01,file:///home/angsuman/extra_spac/AHOM/images/13_Subinphaa_Reclaims_the_Swamps.png,"Large-scale drainage canals, dykes, and earthen bunds constructed across alluvial marshlands to open vast new paddy fields.","King Subinphaa, Tai hydraulic engineers"
41,Sukhangphaa,Siu-Khang-Pha,4th Ahom King,Early Dynasty,Foundational Era (1228–1497),1293,1332,1293–1332,Outbreak of the First Ahom-Kamata War,c. 1305,1305,Warfare,Kamata / Ahom Frontier,14_Sukhangphaa_First_Kamata_War.png,v01,file:///home/angsuman/extra_spac/AHOM/images/14_Sukhangphaa_First_Kamata_War.png,"King Sukhangphaa leads an offensive against Raja Durlabhanarayana of Kamata, seeking westward expansion into Lower Assam.","King Sukhangphaa, Kamata Raja Durlabhanarayana"
42,Sukhangphaa,Siu-Khang-Pha,4th Ahom King,Early Dynasty,Foundational Era (1228–1497),1293,1332,1293–1332,Frontier Battle with Kamata Forces,c. 1305,1305,Warfare,Kamata Frontier,90_Ahom_Kamata_Battle_Unconfirmed_Event_v01.png,v01,file:///home/angsuman/extra_spac/AHOM/images/90_Ahom_Kamata_Battle_Unconfirmed_Event_v01.png,A pitched riverine engagement between Ahom war flotillas and Kamata defensive troops along the Lower Assam river passes.,"King Sukhangphaa, Ahom war captains"
43,Sukhangphaa,Siu-Khang-Pha,4th Ahom King,Early Dynasty,Foundational Era (1228–1497),1293,1332,1293–1332,Frontier Battle with Kamata Forces,c. 1305,1305,Warfare,Kamata Frontier,90_Ahom_Kamata_Battle_Unconfirmed_Event_v02.png,v02,file:///home/angsuman/extra_spac/AHOM/images/90_Ahom_Kamata_Battle_Unconfirmed_Event_v02.png,A pitched riverine engagement between Ahom war flotillas and Kamata defensive troops along the Lower Assam river passes.,"King Sukhangphaa, Ahom war captains"
44,Sukhangphaa,Siu-Khang-Pha,4th Ahom King,Early Dynasty,Foundational Era (1228–1497),1293,1332,1293–1332,Military Stalemate in the Kamata Campaign,c. 1306–1307,1306,Warfare / Strategic Stalemate,Kamrup / Kamata,15_Ahom_Kamata_War_Stalemate_v01.png,v01,file:///home/angsuman/extra_spac/AHOM/images/15_Ahom_Kamata_War_Stalemate_v01.png,"After prolonged fighting and sieges without either side securing a decisive victory, both monarchs recognize mutual exhaustion.","King Sukhangphaa, Raja Durlabhanarayana"
45,Sukhangphaa,Siu-Khang-Pha,4th Ahom King,Early Dynasty,Foundational Era (1228–1497),1293,1332,1293–1332,Military Stalemate in the Kamata Campaign,c. 1306–1307,1306,Warfare / Strategic Stalemate,Kamrup / Kamata,15_Ahom_Kamata_War_Stalemate_v02.png,v02,file:///home/angsuman/extra_spac/AHOM/images/15_Ahom_Kamata_War_Stalemate_v02.png,"After prolonged fighting and sieges without either side securing a decisive victory, both monarchs recognize mutual exhaustion.","King Sukhangphaa, Raja Durlabhanarayana"
46,Sukhangphaa,Siu-Khang-Pha,4th Ahom King,Early Dynasty,Foundational Era (1228–1497),1293,1332,1293–1332,Ahom-Kamata Royal Matrimonial Treaty,c. 1308,1308,Diplomacy / Royal Marriage,Charaideo,16_Sukhangphaa_and_Princess_Rajani_Royal_Marriage.png,v01,file:///home/angsuman/extra_spac/AHOM/images/16_Sukhangphaa_and_Princess_Rajani_Royal_Marriage.png,"Peace concluded by the marriage of Kamata Princess Rajani (Durlabhanarayana's daughter) to Sukhangphaa, sealing durable inter-kingdom peace.","King Sukhangphaa, Princess Rajani, Raja Durlabhanarayana"
47,Sukhangphaa,Siu-Khang-Pha,4th Ahom King,Early Dynasty,Foundational Era (1228–1497),1293,1332,1293–1332,Birth of Prince Chao Pulai,c. 1310,1310,Royal Birth,Charaideo,17_Birth_of_Chao_Pulai.png,v01,file:///home/angsuman/extra_spac/AHOM/images/17_Birth_of_Chao_Pulai.png,"Princess Rajani gives birth to Prince Chao Pulai, tying the royal lineages of Kamata and Ahom together.","King Sukhangphaa, Queen Rajani, Infant Chao Pulai"
48,Sukhrangphaa,Siu-Khrang-Pha,5th Ahom King,Early Dynasty,Foundational Era (1228–1497),1332,1364,1332–1364,Chao Pulai's Revolt and Alliance with Kamata,c. 1335,1335,Palace Intrigue / Rebellion,Kamata / Frontier,18_Chao_Pulai_Meets_Kamata_Envoys.png,v01,file:///home/angsuman/extra_spac/AHOM/images/18_Chao_Pulai_Meets_Kamata_Envoys.png,Chao Pulai disputes the succession of his half-brother Sukhrangphaa and conspires with maternal Kamata envoys for military support.,"Prince Chao Pulai, King Sukhrangphaa, Kamata envoys"
49,Sukhrangphaa,Siu-Khrang-Pha,5th Ahom King,Early Dynasty,Foundational Era (1228–1497),1332,1364,1332–1364,Fraternal Reconciliation Between Sukhrangphaa and Chao Pulai,c. 1338,1338,Diplomacy / Peace,Charaideo,19_Sukhrangphaa_and_Chao_Pulai_Reconciliation.png,v01,file:///home/angsuman/extra_spac/AHOM/images/19_Sukhrangphaa_and_Chao_Pulai_Reconciliation.png,"Rather than shedding fraternal blood, Sukhrangphaa welcomes Chao Pulai back into the court and effects complete reconciliation.","King Sukhrangphaa, Prince Chao Pulai"
50,Sukhrangphaa,Siu-Khrang-Pha,5th Ahom King,Early Dynasty,Foundational Era (1228–1497),1332,1364,1332–1364,Appointment of Chao Pulai as Governor of Sadiya,c. 1339,1339,Administration / Frontier Post,Sadiya / Charaideo,20_Chao_Pulai_Appointed_Governor_of_Sadiya_v01.png,v01,file:///home/angsuman/extra_spac/AHOM/images/20_Chao_Pulai_Appointed_Governor_of_Sadiya_v01.png,King Sukhrangphaa invests Chao Pulai with governorship of the critical eastern frontier outpost of Sadiya.,"King Sukhrangphaa, Governor Chao Pulai"
